Dash
Date,Open,High,Low,Close
Nov 07 2016,9.40,9.92,9.27,9.92
Nov 06 2016,9.21,9.48,9.13,9.40
Nov 05 2016,9.12,9.26,9.05,9.21
Nov 04 2016,9.13,9.29,8.96,9.13
Nov 03 2016,8.99,9.44,8.79,9.12
Nov 02 2016,9.01,9.36,8.80,8.94
Nov 01 2016,9.21,9.34,8.65,9.04
Oct 31 2016,9.68,9.90,9.05,9.20
Oct 30 2016,8.63,9.72,8.63,9.67
Oct 29 2016,9.07,9.36,8.05,8.61
Oct 28 2016,9.72,9.73,9.05,9.07
Oct 27 2016,9.32,9.91,9.14,9.71
Oct 26 2016,9.39,9.55,8.95,9.34
Oct 25 2016,9.86,10.00,9.08,9.41
Oct 24 2016,9.96,10.16,9.77,9.85
Oct 23 2016,10.37,10.47,9.95,9.96
Oct 22 2016,10.77,10.78,10.26,10.36
Oct 21 2016,10.55,10.87,10.46,10.77
Oct 20 2016,10.30,10.78,10.24,10.50
Oct 19 2016,10.20,10.46,10.13,10.29
Oct 18 2016,10.62,10.62,9.97,10.21
Oct 17 2016,10.84,10.88,10.52,10.62
Oct 16 2016,11.10,11.29,10.85,10.85
Oct 15 2016,11.52,11.63,11.05,11.10
Oct 14 2016,11.44,11.68,11.41,11.53
Oct 13 2016,11.43,11.67,11.39,11.44
Oct 12 2016,11.74,11.97,11.33,11.43
Oct 11 2016,11.69,11.84,11.48,11.73
Oct 10 2016,11.59,11.76,11.57,11.69
Oct 09 2016,11.73,11.86,11.59,11.59
Oct 08 2016,11.88,11.99,11.65,11.72
Oct 07 2016,12.05,12.13,11.75,11.87
Oct 06 2016,12.05,12.26,12.00,12.06
Oct 05 2016,12.05,12.06,11.83,12.03
Oct 04 2016,11.88,12.06,11.70,12.06
Oct 03 2016,11.79,12.27,11.78,11.89
Oct 02 2016,11.71,11.97,11.64,11.78
Oct 01 2016,12.10,12.11,11.67,11.71
Sep 30 2016,12.04,12.25,11.74,12.10
Sep 29 2016,11.59,12.15,11.58,12.01
Sep 28 2016,11.64,11.64,11.47,11.59
Sep 27 2016,11.41,11.64,11.38,11.64
Sep 26 2016,11.56,11.61,11.30,11.41
Sep 25 2016,11.52,11.66,11.46,11.55
Sep 24 2016,11.55,11.60,11.43,11.53
Sep 23 2016,11.52,11.70,11.40,11.54
Sep 22 2016,11.54,11.70,11.32,11.54
Sep 21 2016,11.47,11.72,11.17,11.53
Sep 20 2016,11.52,11.58,11.23,11.41
Sep 19 2016,11.68,11.75,11.35,11.54
Sep 18 2016,11.77,11.85,11.61,11.64
Sep 17 2016,11.72,11.93,11.54,11.78
Sep 16 2016,12.21,12.27,11.64,11.72
Sep 15 2016,12.74,12.74,12.14,12.21
Sep 14 2016,13.00,13.00,12.36,12.71
Sep 13 2016,12.31,13.00,12.10,13.00
Sep 12 2016,11.16,12.82,11.10,12.26
Sep 11 2016,11.42,11.62,10.96,11.14
Sep 10 2016,11.20,11.47,11.01,11.42
Sep 09 2016,11.68,11.68,11.14,11.22
Sep 08 2016,11.28,11.69,11.24,11.69
Sep 07 2016,10.94,11.40,10.83,11.28
Sep 06 2016,11.27,11.36,10.92,10.92
Sep 05 2016,11.36,11.69,11.13,11.27
Sep 04 2016,11.36,11.56,10.72,11.39
Sep 03 2016,11.37,11.54,10.85,11.45
Sep 02 2016,11.46,11.55,11.33,11.36
Sep 01 2016,11.89,11.93,11.37,11.45
Aug 31 2016,11.77,12.20,11.45,11.89
Aug 30 2016,11.65,11.90,11.43,11.77
Aug 29 2016,12.36,12.79,10.91,11.68
Aug 28 2016,12.59,12.80,12.19,12.42
Aug 27 2016,12.75,12.86,12.33,12.57
Aug 26 2016,12.29,12.86,11.96,12.74
Aug 25 2016,13.31,13.45,12.30,12.31
Aug 24 2016,13.49,13.62,12.95,13.28
Aug 23 2016,14.35,14.35,12.63,13.42
Aug 22 2016,13.41,14.45,13.41,14.21
Aug 21 2016,13.09,13.69,12.97,13.41
Aug 20 2016,13.75,14.09,12.93,13.10
Aug 19 2016,13.83,14.83,13.30,13.78
